Plate;Locality;Site_N;sitio;Replica;Side;Taxa;Corallites;in;out;LAB;Photo
67;AC;12;ACBAY;2;B;Porites spp.;1;15/09/2007;1/04/2008;24/04/2008;104
69;AC;12;ACBAY;8;B;Porites spp.;1;15/09/2007;1/04/2008;24/04/2008;48
69;AC;12;ACBAY;8;B;Siderastrea sp.;1;15/09/2007;1/04/2008;24/04/2008;49
69;AC;12;ACBAY;8;B;Porites spp.;1;15/09/2007;1/04/2008;24/04/2008;50
69;AC;12;ACBAY;8;B;Porites spp.;1;15/09/2007;1/04/2008;24/04/2008;107
71;AC;12;ACBAY;6;S;Porites spp.;1;15/09/2007;1/04/2008;24/04/2008;16/102
44;AC;11;ACMID;7;B;Porites spp.;4;15/09/2007;1/04/2008;29/04/2008;34
44;AC;11;ACMID;7;F;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;35
45;AC;11;ACMID;6;S;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;27
45;AC;11;ACMID;6;F;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;28
45;AC;11;ACMID;6;F;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;29
45;AC;11;ACMID;6;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;30
45;AC;11;ACMID;6;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;31/32
46;AC;11;ACMID;8;B;Porites spp.;1;15/09/2007;1/04/2008;6/05/2008;66
46;AC;11;ACMID;8;B;Porites spp.;1;15/09/2007;1/04/2008;6/05/2008;67
46;AC;11;ACMID;8;F;Faviidae;1;15/09/2007;1/04/2008;6/05/2008;69
48;AC;11;ACMID;3;S;Porites spp.;1;15/09/2007;1/04/2008;1/05/2008;17
48;AC;11;ACMID;3;S;Porites spp.;1;15/09/2007;1/04/2008;1/05/2008;18
48;AC;11;ACMID;3;B;Porites spp.;1;15/09/2007;1/04/2008;1/05/2008;46
48;AC;11;ACMID;3;B;Porites spp.;1;15/09/2007;1/04/2008;1/05/2008;105
49;AC;11;ACMID;9;S;Unknown Coral (too small);1;15/09/2007;1/04/2008;30/04/2008;106
49;AC;11;ACMID;9;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;
49;AC;11;ACMID;9;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;
49;AC;11;ACMID;9;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;
50;AC;11;ACMID;10;B;Porites spp.;1;15/09/2007;1/04/2008;30/04/2008;94
52;AC;11;ACMID;3;S;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;25
52;AC;11;ACMID;3;B;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;43
53;AC;11;ACMID;1;S;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;11
53;AC;11;ACMID;1;S;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;12
54;AC;11;ACMID;4;S;Porites spp.;3;15/09/2007;1/04/2008;6/05/2008;26
56;AC;10;ACRL;2;S;Porites spp.;6;15/09/2007;1/04/2008;5/05/2008;95
56;AC;10;ACRL;2;S;Porites spp.;1;15/09/2007;1/04/2008;5/05/2008;96
56;AC;10;ACRL;2;S;Porites spp.;1;15/09/2007;1/04/2008;5/05/2008;98
56;AC;10;ACRL;2;S;Porites spp.;1;15/09/2007;1/04/2008;5/05/2008;100
58;AC;10;ACRL;2;S;Porites spp.;2;15/09/2007;1/04/2008;5/05/2008;97
59;AC;10;ACRL;10;S;Unknown Coral (too small);1;15/09/2007;1/04/2008;6/05/2008;22
59;AC;10;ACRL;10;S;Unknown Coral (too small);1;15/09/2007;1/04/2008;6/05/2008;23
59;AC;10;ACRL;10;S;Porites spp.;1;15/09/2007;1/04/2008;6/05/2008;24
62;AC;10;ACRL;9;S;Porites spp.;1;15/09/2007;1/04/2008;29/04/2008;15
